'EM, ə m
KIDNEY, k ˈɪ d n iː
KIDS, k ˈɪ d z
KIDS', k ˈɪ d z
KIDWELL, k ˈɪ d w ˌɛ l
KIES, k ˈaɪ s
KIFF, k ˈɪ f
KIGGINS, k ˈɪ g ɪ n z
KIGHT, k ˈaɪ t
KIHN, k ˈɪ n
KIKWIT, k ˈɪ k w ɪ t
KILDAY, k ˈɪ l d ˌeɪ
KILE, k ˈaɪ l
KILL, k ˈɪ l
KILLE, k ˈɪ l
KILLED, k ˈɪ l d
KILLER, k ˈɪ l ə
KILLIFISH, k ˈɪ l ɪ f ɪ ʃ
KILLIN, k ˈɪ l ɪ n
KILLING, k ˈɪ l ɪ ŋ
KILLINGBECK, k ˈɪ l ɪ ŋ b ˌɛ k
KILLINGS, k ˈɪ l ɪ ŋ z
KILLS, k ˈɪ l z
KILN, k ˈɪ l n
KILNS, k ˈɪ l n z
KILO, k ˈiː l ˌəʊ
KILOMETRES, k ˌɪ l ə m ˈiː t ə z
KILOMETRES, k ˌɪ l ˈɒ m ˌɪ t ə z
KILOS, k ˈiː l ˌəʊ z
KILT, k ˈɪ l t
KILTS, k ˈɪ l t s
KIM, k ˈɪ m
KIM'S, k ˈɪ m z
KIMBELL, k ˈɪ m b ɛ l
KIME, k ˈaɪ m
KIMES, k ˈaɪ m z
KIMM, k ˈɪ m
KIMMET, k ˈɪ m ɪ t
KIMMICH, k ˈɪ m ɪ tʃ
KIMMINS, k ˈɪ m ɪ n z
KIMMITT, k ˈɪ m ɪ t
KIMS, k ˈɪ m z
KIMWIPE, k ˈɪ m w aɪ p
KIMWIPES, k ˈɪ m w aɪ p s
KIN, k ˈɪ n
KIN'S, k ˈɪ n z
KINCADE, k ˌɪ n k ˈeɪ d
KINCAID, k ˌɪ n k ˈeɪ d
KINCAID'S, k ˌɪ n k ˈeɪ d z
KINCH, k ˈɪ n tʃ
KIND, k ˈaɪ n d
KINDIG, k ˈɪ n d ɪ g
KINDLING, k ˈɪ n d l ɪ ŋ
KINDS, k ˈaɪ n d z
KINDT, k ˈɪ n t
KINES, k ˈaɪ n z
KINETIC, k ɪ n ˈɛ t ɪ k
KING, k ˈɪ ŋ
KING'S, k ˈɪ ŋ z
KINGDOM, k ˈɪ ŋ d ə m
KINGPIN, k ˈɪ ŋ p ˌɪ n
KINGPINS, k ˈɪ ŋ p ˌɪ n z
KINGS, k ˈɪ ŋ z
KINGS', k ˈɪ ŋ z
KINGSHIP, k ˈɪ ŋ ʃ ɪ p
KINGSTON, k ˈɪ ŋ s t ə n
KINGSVILLE, k ˈɪ ŋ z v ˌɪ l
KINGSWAY, k ˈɪ ŋ g z w eɪ
KINGSWELL, k ˈɪ ŋ g z w ɛ l
KINKEAD, k ˈɪ ŋ k ɛ d
KINKS, k ˈɪ ŋ k s
KINMEN, k ˈɪ n m ɛ n
KINN, k ˈɪ n
KINNE, k ˈɪ n
KINNETT, k ˈɪ n ɪ t
KINNICK, k ˈɪ n ɪ k
KINNOCK, k ˈɪ n ə k
KINSHIP, k ˈɪ n ʃ ˌɪ p
KINST, k ˈɪ n s t
KINT, k ˈɪ n t
KINTZ, k ˈɪ n t s
KIP, k ˈɪ p
KIPLING, k ˈɪ p l ɪ ŋ
KIPNIS, k ˈɪ p n ɪ s
KIPP, k ˈɪ p
KIPPES, k ˈɪ p s
KIS, k ˈɪ s
KISCH, k ˈɪ ʃ
KISE, k ˈaɪ z
KISH, k ˈɪ ʃ
KISLING, k ˈɪ s l ɪ ŋ
KISMET, k ˈɪ z m ɪ t
KISMETS, k ˈɪ z m ɪ t s
KISS, k ˈɪ s
KISSED, k ˈɪ s t
KISSES, k ˈɪ s ɪ z
KISSICK, k ˈɪ s ɪ k
KISSING, k ˈɪ s ɪ ŋ
KISSLING, k ˈɪ s l ɪ ŋ
KIST, k ˈɪ s t
KIT, k ˈɪ t
KITCH, k ˈɪ tʃ
KITCHEN, k ˈɪ tʃ ə n
KITCHIN, k ˈɪ tʃ ɪ n
KITCHING, k ˈɪ tʃ ɪ ŋ
KITCHINGS, k ˈɪ tʃ ɪ ŋ z
KITE, k ˈaɪ t
KITES, k ˈaɪ t s
KITING, k ˈaɪ t ɪ ŋ
KITS, k ˈɪ t s
KITSCH, k ˈɪ tʃ
KITT, k ˈɪ t
KITTENS, k ˈɪ t ə n z
KITTIWAKE, k ˈɪ t ɪ w ˌeɪ k
KITTS, k ˈɪ t s
KITZ, k ˈɪ t s
KIVETT, k ˈɪ v ɪ t
KJELL, k j ˈɛ l
KLAGES, k l ˈeɪ dʒ ɪ z
KLASE, k l ˈeɪ z
KLAY, k l ˈeɪ
KLECK, k l ˈɛ k
KLEIN, k l ˈaɪ n
KLEIN'S, k l ˈaɪ n z
KLEINE, k l ˈaɪ n
KLEINFELD, k l ˈaɪ n f ˌɛ l d
KLEINHENZ, k l ˈaɪ n h ɪ n s
KLEINKNECHT, k l ˈaɪ ŋ k n ɪ k t
KLEINPASTE, k l ˈaɪ n p ˌeɪ s t
KLEINSCHMIDT, k l ˈaɪ n ʃ m ˌɪ t
KLEINSMITH, k l ˈaɪ n s m ɪ θ
KLEIS, k l ˈaɪ z
KLEISS, k l ˈaɪ s
KLEIST, k l ˈaɪ s t
KLEM, k l ˈɛ m
KLEMM, k l ˈɛ m
KLEMME, k l ˈɛ m
KLEMP, k l ˈɛ m p
KLEMZ, k l ˈɛ m z
KLENGE, k l ˈɛ n dʒ
KLENK, k l ˈɛ ŋ k
KLENKE, k l ˈɛ ŋ k
KLENSCH, k l ˈɛ n ʃ
KLEPPE, k l ˈɛ p
KLESCH, k l ˈɛ ʃ
KLESS, k l ˈɛ s
KLETT, k l ˈɛ t
KLEY, k l ˈeɪ
KLICH, k l ˈɪ tʃ
KLICK, k l ˈɪ k
KLIM, k l ˈɪ m
KLIMEK, k l ˈɪ m ɪ k
KLINCK, k l ˈɪ ŋ k
KLINDT, k l ˈɪ n t
KLINE, k l ˈaɪ n
KLINEDINST, k l ˈaɪ n d ɪ n s t
KLINEDINST, k l ˈɪ n ɪ d ɪ n s t
KLING, k l ˈɪ ŋ
KLINGBEIL, k l ˈɪ ŋ b aɪ l
KLINGE, k l ˈɪ n dʒ
KLINGENSMITH, k l ˈɪ ŋ g ɪ n s m ɪ θ
KLINK, k l ˈɪ ŋ k
KLINKE, k l ˈɪ ŋ k
KLINT, k l ˈɪ n t
KLINZING, k l ˈɪ n z ɪ ŋ
KLIPP, k l ˈɪ p
KLISH, k l ˈɪ ʃ
KLITZ, k l ˈɪ t s
KLYM, k l ˈɪ m
KLYNVELD, k l ˈɪ n v ˌɛ l d
KNABE, n ˈeɪ b
KNAPE, n ˈeɪ p
KNAPKE, n ˈeɪ p k
KNAVE, n ˈeɪ v
KNAVES, n ˈeɪ v z
KNECHT, n ˈɛ k t
KNEE, n ˈiː
KNEES, n ˈiː z
KNELL, n ˈɛ l
KNELT, n ˈɛ l t
KNEPP, n ˈɛ p
KNESS, n ˈɛ s
KNEW, n ˈjuː
KNEZEVICH, n ˈɛ z ɪ v ɪ tʃ
KNICK, n ˈɪ k
KNICKERS, n ˈɪ k ə z
KNICKS, n ˈɪ k s
KNICKS', n ˈɪ k s
KNIES, n ˈaɪ z
KNIFE, n ˈaɪ f
KNIFED, n ˈaɪ f t
KNIFELIKE, n ˈaɪ f l ˌaɪ k
KNIFFIN, n ˈɪ f ɪ n
KNIFING, n ˈaɪ f ɪ ŋ
KNIFINGS, n ˈaɪ f ɪ ŋ z
KNIGGE, n ˈɪ g
KNIGHT, n ˈaɪ t
KNIGHT'S, n ˈaɪ t s
KNIGHTED, n ˈaɪ t ɪ d
KNIGHTS, n ˈaɪ t s
KNILL, n ˈɪ l
KNIPE, n ˈaɪ p
KNIPP, n ˈɪ p
KNISS, n ˈɪ s
KNIT, n ˈɪ t
KNITS, n ˈɪ t s
KNITTED, n ˈɪ t ɪ d
KNITTING, n ˈɪ t ɪ ŋ
KNIVES, n ˈaɪ v z
KNOB, n ˈɒ b
KNOCK, n ˈɒ k
KNOCKED, n ˈɒ k t
KNOCKING, n ˈɒ k ɪ ŋ
KNOW, n ˈəʊ
KNOWING, n ˈəʊ ɪ ŋ
KNOWLEDGE, n ˈɒ l ɪ dʒ
KNOWN, n ˈəʊ n
KNOWS, n ˈəʊ z
KONG, k ˈɒ ŋ
KOREA, k ə ɹ ˈiː ə
KRISPIES, k ɹ ˈɪ s p iː z
KUWAIT, k uː w ˈeɪ t
KVALE, k v ˈeɪ l
KVETCH, k v ˈɛ tʃ
KWAI, k w ˈaɪ
KWIK, k w ˈɪ k
KYD, k ˈɪ d
KYD'S, k ˈɪ d z
KYES, k ˈaɪ z
KYL, k ˈaɪ l
KYLE, k ˈaɪ l
KYLE'S, k ˈaɪ l z
KYLES, k ˈaɪ l z
KYM, k ˈɪ m
KYNE, k ˈaɪ n
KYTE, k ˈaɪ t
L'EGGS, l ˈɛ g z
LA, l ˈɑː
LABE, l ˈeɪ b
LABEL, l ˈeɪ b ə l
LABELING, l ˈeɪ b l ɪ ŋ
LABELS, l ˈeɪ b ə l z
LABORATORY, l ə b ˈɒ ɹ ə t ə ɹ iː
LABOUR, l ˈeɪ b ə
LACE, l ˈeɪ s
LACED, l ˈeɪ s t
LACES, l ˈeɪ s ɪ z
LACEWELL, l ˈeɪ s w ˌɛ l
LACK, l ˈæ k
LACKING, l ˈæ k ɪ ŋ
LAD, l ˈæ d
LADDER, l ˈæ d ə
LADDERS, l ˈæ d ə z
LADE, l ˈeɪ d
LADIES, l ˈeɪ d iː z
LADING, l ˈeɪ d ɪ ŋ
LADLING, l ˈeɪ d l ɪ ŋ
LADS, l ˈæ d z
LADY, l ˈeɪ d iː
LAGE, l ˈeɪ dʒ
LAGER, l ˈɑː g ə
LAI, l ˈaɪ
LAIB, l ˈeɪ b
LAICHE, l ˈeɪ tʃ
LAID, l ˈeɪ d
LAIDIG, l ˈeɪ d ɪ g
LAIL, l ˈeɪ l
LAIN, l ˈeɪ n
LAINE, l ˈeɪ n
LAIS, l ˈeɪ z
LAISSEZ, l ˈeɪ z ˌeɪ
LAISSEZ, l ˈɛ z ˌeɪ
LAIT, l ˈeɪ
LAKE, l ˈeɪ k
LAKE'S, l ˈeɪ k s
LAKES, l ˈeɪ k s
LAKES', l ˈeɪ k s
LAKESIDE, l ˈeɪ k s ˌaɪ d
LAM, l ˈæ m
LAMB, l ˈæ m
LAME, l ˈeɪ m
LAMP, l ˈæ m p
LANCASHIRE, l ˈæ ŋ k ə ʃ ˌɪə
LANCASTER, l ˈæ n k ˌæ s t ə
LANCASTER, l ˈæ ŋ k ə s t ə
LAND, l ˈæ n d
LANDED, l ˈæ n d ɪ d
LANDING, l ˈæ n d ɪ ŋ
LANDLORD, l ˈæ n d l ˌɔː d
LANDS, l ˈæ n d z
LANDSCAPE, l ˈæ n d s k ˌeɪ p
LANDSCAPE, l ˈæ n s k ˌeɪ p
LANE, l ˈeɪ n
LANE'S, l ˈeɪ n z
LANES, l ˈeɪ n z
LANGENFELD, l ˈeɪ ŋ g ɪ n f ɛ l d
LANGEVIN, l ˈeɪ ŋ g ɪ v ɪ n
LANGUAGE, l ˈæ ŋ g w ɪ dʒ
LANGUAGES, l ˈæ ŋ g w ɪ dʒ ɪ z
LANING, l ˈeɪ n ɪ ŋ
LAP, l ˈæ p
LAPE, l ˈeɪ p
LARGE, l ˈɑː dʒ
LARGELY, l ˈɑː dʒ l iː
LARGER, l ˈɑː dʒ ə
LARGEST, l ˈɑː dʒ ɪ s t
LASE, l ˈeɪ z
LASER, l ˈeɪ z ə
LASIK, l ˈeɪ s ˌɪ k
LASKE, l ˈeɪ s k
LASS, l ˈæ s
LAST, l ˈɑː s t
LASTS, l ˈɑː s t s
LATE, l ˈeɪ t
LATE-NIGHT, l ˈeɪ t n ˌaɪ t
LATELY, l ˈeɪ t l iː
LATER, l ˈeɪ t ə
LATEST, l ˈeɪ t ə s t
LATEX, l ˈeɪ t ˌɛ k s
LATHE, l ˈeɪ ð
LATHES, l ˈeɪ ð z
LATIN, l ˈæ t ɪ n
LATTER, l ˈæ t ə
LAUGH, l ˈɑː f
LAUGHED, l ˈɑː f t
LAUGHING, l ˈɑː f ɪ ŋ
LAUGHTER, l ˈɑː f t ə
LAUNCH, l ˈɔː n tʃ
LAUNCHED, l ˈɔː n tʃ t
LAURA, l ˈɔː ɹ ə
LAURENT, l ˈɒ ɹ ə n t
LAVE, l ˈeɪ v
LAW, l ˈɔː
LAW, l ˈɔː
LAWN, l ˈɔː n
LAWRENCE, l ˈɒ ɹ ə n s
LAWS, l ˈɔː z
LAWYER, l ˈɔɪ ə
LAWYER, l ˈɔː j ə
LAWYERS, l ˈɔɪ ə z
LAWYERS, l ˈɔː j ə z
LAY, l ˈeɪ
LAY'S, l ˈeɪ z
LAYE, l ˈeɪ
LAYER, l ˈeɪ ə
LAYERS, l ˈeɪ ə z
LAYING, l ˈeɪ ɪ ŋ
LAYNE, l ˈeɪ n
LAYS, l ˈeɪ z
LAZY, l ˈeɪ z iː
LE, l ə
LEAD, l ˈiː d
LEAD, l ˈɛ d
LEADED, l ˈɛ d ɪ d
LEADER, l ˈiː d ə
LEADERS, l ˈiː d ə z
LEADERSHIP, l ˈiː d ə ʃ ˌɪ p
LEADING, l ˈiː d ɪ ŋ
LEADS, l ˈiː d z
LEADVILLE, l ˈɛ d v ˌɪ l
LEAF, l ˈiː f
LEAFLET, l ˈiː f l ə t
LEAFLETS, l ˈiː f l ə t s
LEAGUE, l ˈiː g
LEANED, l ˈiː n d
LEANING, l ˈiː n ɪ ŋ
LEAPED, l ˈɛ p t
LEAPT, l ˈɛ p t
LEARN, l ˈɜː n
LEARNED, l ˈɜː n d
LEARNED, l ˈɜː n ɪ d
LEARNING, l ˈɜː n ɪ ŋ
LEARNT, l ˈɜː n t
LEASE, l ˈiː s
LEAST, l ˈiː s t
LEATHEM, l ˈɛ θ ɪ m
LEATHER, l ˈɛ ð ə
LEAVE, l ˈiː v
LEAVES, l ˈiː v z
LEAVING, l ˈiː v ɪ ŋ
LEAVITT, l ˈɛ v ɪ t
LEBED, l ˈɛ b ɛ d
LEBED'S, l ˈɛ b ɛ d z
LEBEGUE, l ˈɛ b ɪ g
LECATES, l ɪ k ˈeɪ t s
LECH, l ˈɛ k
LECITHIN, l ˈɛ s ɪ θ ɪ n
LECK, l ˈɛ k
LECTEC, l ˈɛ k t ˌɛ k
LECTURE, l ˈɛ k tʃ ə
LED, l ˈɛ d
LEDET, l ˈɛ d ɪ t
LEDGE, l ˈɛ dʒ
LEDGES, l ˈɛ dʒ ɪ z
LEDIN, l ˈɛ d ɪ n
LEDWELL, l ˈɛ d w ˈɛ l
LEDWITH, l ˈɛ d w ˈɪ θ
LEE, l ˈiː
LEEDS, l ˈiː d z
LEFAVE, l ɪ f ˈeɪ v
LEFF, l ˈɛ f
LEFF'S, l ˈɛ f s
LEFFINGWELL, l ˈɛ f ɪ ŋ g w ɛ l
LEFT, l ˈɛ f t
LEFT'S, l ˈɛ f t s
LEFTIST, l ˈɛ f t ɪ s t
LEFTISTS, l ˈɛ f t ɪ s t s
LEFTWICH, l ˈɛ f t w ɪ k
LEFTWING, l ˈɛ f t w ˌɪ ŋ
LEG, l ˈɛ g
LEG'S, l ˈɛ g z
LEGAL, l ˈiː g ə l
LEGET, l ˈɛ g ɪ t
LEGETTE, l ɪ ʒ ˈɛ t
LEGG, l ˈɛ g
LEGGE, l ˈɛ g
LEGGED, l ˈɛ g d
LEGGETT, l ˈɛ g ɪ t
LEGGETTE, l ˈɛ g ˈɛ t
LEGGING, l ˈɛ g ɪ ŋ
LEGGINGS, l ˈɛ g ɪ ŋ z
LEGGITT, l ˈɛ g ɪ t
LEGISLATE, l ˈɛ dʒ ɪ s l ˌeɪ t
LEGISLATES, l ˈɛ dʒ ɪ s l ˌeɪ t s
LEGISLATING, l ˈɛ dʒ ɪ s l ˌeɪ t ɪ ŋ
LEGISLATION, l ˌɛ dʒ ɪ s l ˈeɪ ʃ ə n
LEGISLATIVE, l ˈɛ dʒ ɪ s l ə t ɪ v
LEGIT, l ˈɛ dʒ ɪ t
LEGITIMATE, l ə dʒ ˈɪ t ɪ m ə t
LEGO, l ˈɛ g əʊ
LEGS, l ˈɛ g z
LEH, l ˈɛ
LEHL, l ˈɛ l
LEHN, l ˈɛ n
LEHNE, l ˈɛ n
LEI, l ˈeɪ
LEICESTER, l ˈɛ s t ə
LEICHT, l ˈaɪ k t
LEIDIG, l ˈaɪ d ɪ g
LEIFESTE, l ˈaɪ f ɪ s t
LEIFHEIT, l ˈaɪ f h aɪ t
LEIGH, l ˈiː
LEIGHT, l ˈeɪ t
LEIPZIG, l ˈaɪ p s ɪ g
LEIS, l ˈeɪ z
LEISING, l ˈaɪ s ɪ ŋ
LEISS, l ˈaɪ s
LEISURE, l ˈiː ʒ ə
LEISURE, l ˈɛ ʒ ə
LEK, l ˈɛ k
LEM, l ˈɛ m
LEMAY, l ˈɛ m eɪ
LEMBKE, l ˈɛ m b k
LEMELIN, l ˈɛ m ɪ l ɪ n
LEMELLE, l ɪ m ˈɛ l
LEMING, l ˈɛ m ɪ ŋ
LEMM, l ˈɛ m
LEMMEN, l ˈɛ m ɛ n
LEMMING, l ˈɛ m ɪ ŋ
LEMMINGS, l ˈɛ m ɪ ŋ z
LEMON, l ˈɛ m ə n
LEMONADE, l ˈɛ m ə n ˈeɪ d
LEMP, l ˈɛ m p
LEMPKE, l ˈɛ m p k
LEN, l ˈɛ n
LEND, l ˈɛ n d
LENDING, l ˈɛ n d ɪ ŋ
LENDINGS, l ˈɛ n d ɪ ŋ z
LENDS, l ˈɛ n d z
LENG, l ˈɛ ŋ
LENGTH, l ˈɛ ŋ k θ
LENGTH, l ˈɛ ŋ θ
LENGTHS, l ˈɛ ŋ k θ s
LENGTHS, l ˈɛ ŋ θ s
LENGTHWAYS, l ˈɛ ŋ θ w ˌeɪ z
LENGTHWISE, l ˈɛ ŋ θ w ˌaɪ z
LENGYEL, l ˈɛ ŋ j ˌɛ l
LENIG, l ˈɛ n ɪ g
LENIN, l ˈɛ n ɪ n
LENIN'S, l ˈɛ n ɪ n z
LENINIST, l ˈɛ n ɪ n ɪ s t
LENK, l ˈɛ ŋ k
LENNANE, l ɛ n ˈeɪ n
LENNIG, l ˈɛ n ɪ g
LENNING, l ˈɛ n ɪ ŋ
LENS, l ˈɛ n z
LENSES, l ˈɛ n z ɪ z
LENSING, l ˈɛ n s ɪ ŋ
LENT, l ˈɛ n t
LENTS, l ˈɛ n t s
LENTSCH, l ˈɛ n tʃ
LENTZ, l ˈɛ n t s
LENTZSCH, l ˈɛ n t s
LENZ, l ˈɛ n z
LENZ'S, l ˈɛ n z ɪ z
LEONELLE, l ɛ n ˈɛ l
LEONG, l ˈɛ ŋ
LEP, l ˈɛ p
LEPAGE, l ˈɛ p ɪ dʒ
LEPP, l ˈɛ p
LEPPEK, l ˈɛ p ɪ k
LEPTIN, l ˈɛ p t ɪ n
LES, l ˈeɪ
LES, l ˈɛ s
LESAGE, l ˈɛ s ɪ dʒ
LESCH, l ˈɛ ʃ
LESESNE, l ˈɛ s ɪ n
LESH, l ˈɛ ʃ
LESKE, l ˈɛ s k
LESLEY, l ˈɛ z l iː
LESNICK, l ˈɛ s n ɪ k
LESS, l ˈɛ s
LESSER, l ˈɛ s ə
LESSIG, l ˈɛ s ɪ g
LESSIN, l ˈɛ s ɪ n
LESSING, l ˈɛ s ɪ ŋ
LESSON, l ˈɛ s ə n
LESSONS, l ˈɛ s ə n z
LEST, l ˈɛ s t
LESZEK, l ˈɛ s ɛ k
LET, l ˈɛ t
LET'S, l ˈɛ t s
LETH, l ˈɛ θ
LETS, l ˈɛ t s
LETSCH, l ˈɛ tʃ
LETT, l ˈɛ t
LETTER, l ˈɛ t ə
LETTERS, l ˈɛ t ə z
LETTICE, l ˈɛ t ɪ s
LETTING, l ˈɛ t ɪ ŋ
LETTISH, l ˈɛ t ɪ ʃ
LETTS, l ˈɛ t s
LETTUCE, l ˈɛ t ə s
LETZ, l ˈɛ t s
LEV, l ˈɛ v
LEVAY, l ˈɛ v eɪ
LEVECK, l ˈɛ v ɪ k
LEVEILLE, l ˈɛ v aɪ l
LEVEL, l ˈɛ v ə l
LEVELING, l ˈɛ v l ɪ ŋ
LEVELL, l eɪ v ˈeɪ l
LEVELS, l ˈɛ v ə l z
LEVESQUE, l ɪ v ˈɛ s k
LEVETT, l ˈɛ v ɪ t
LEVEY, l ɪ v ˈeɪ
LEVICK, l ˈɛ v ɪ k
LEVIN, l ˈɛ v ɪ n
LEVIN'S, l ˈɛ v ɪ n z
LEVINGS, l ˈɛ v ɪ ŋ z
LEVINS, l ˈɛ v ɪ n z
LEVIS, l ˈɛ v ɪ s
LEVIT, l ˈɛ v ɪ t
LEVITATE, l ˈɛ v ɪ t ˌeɪ t
LEVITATED, l ˈɛ v ɪ t ˌeɪ t ɪ d
LEVITCH, l ˈɛ v ɪ tʃ
LEVITT, l ˈɛ v ɪ t
LEVITT'S, l ˈɛ v ɪ t s
LEVITTE, l ˈɛ v ɪ t
LEVITTE'S, l ˈɛ v ɪ t s
LEVITZ, l ˈɛ v ɪ t s
LEWIS, l ˈuː ɪ s
LEX, l ˈɛ k s
LEXINE, l ˈɛ k s aɪ n
LEXIS, l ˈɛ k s ɪ s
LEY, l ˈeɪ
LEYH, l ˈeɪ
LEYS, l ˈeɪ z
LI, l ˈiː
LIABILITY, l ˌaɪ ə b ˈɪ l ɪ t iː
LIABLE, l ˈaɪ ə b ə l
LIAM, l ˈiː ə m
LIAR, l ˈaɪ ə
LIB, l ˈɪ b
LIBBED, l ˈɪ b d
LIBBING, l ˈɪ b ɪ ŋ
LIBERAL, l ˈɪ b ə ɹ ə l
LIBERAL, l ˈɪ b ɹ ə l
LIBERATION, l ˌɪ b ə ɹ ˈeɪ ʃ ə n
LIBRARIES, l ˈaɪ b ɹ ə ɹ iː z
LIBRARY, l ˈaɪ b ɹ ə ɹ iː
LICE, l ˈaɪ s
LICENCE, l ˈaɪ s ə n s
LICH, l ˈɪ tʃ
LICHT, l ˈɪ k t
LICHTE, l ˈɪ tʃ t
LICK, l ˈɪ k
LICKED, l ˈɪ k t
LICKING, l ˈɪ k ɪ ŋ
LICKS, l ˈɪ k s
LICKTEIG, l ˈɪ k t ˌaɪ g
LID, l ˈɪ d
LIDDICK, l ˈɪ d ɪ k
LIDE, l ˈaɪ d
LIDS, l ˈɪ d z
LIE, l ˈaɪ
LIED, l ˈaɪ d
LIES, l ˈaɪ z
LIFE, l ˈaɪ f
LIFE'S, l ˈaɪ f s
LIFE-CHANGING, l ˈaɪ f tʃ ˌeɪ n dʒ ɪ ŋ
LIFE-GIVING, l ˈaɪ f g ˌɪ v ɪ ŋ
LIFELIKE, l ˈaɪ f l ˌaɪ k
LIFELINE, l ˈaɪ f l ˌaɪ n
LIFELINES, l ˈaɪ f l ˌaɪ n z
LIFES, l ˈaɪ f s
LIFESAVING, l ˈaɪ f s ˌeɪ v ɪ ŋ
LIFESPAN, l ˈaɪ f s p ˌæ n
LIFESTYLE, l ˈaɪ f s t ˌaɪ l
LIFESTYLES, l ˈaɪ f s t ˌaɪ l z
LIFETIME, l ˈaɪ f t ˌaɪ m
LIFETIME'S, l ˈaɪ f t ˌaɪ m z
LIFETIMES, l ˈaɪ f t ˌaɪ m z
LIFF, l ˈɪ f
LIFFE, l ˈɪ f
LIFFE'S, l ˈɪ f s
LIFSHITZ, l ˈɪ f ʃ ɪ t s
LIFT, l ˈɪ f t
LIFTED, l ˈɪ f t ɪ d
LIFTIN, l ˈɪ f t ɪ n
LIFTING, l ˈɪ f t ɪ ŋ
LIFTS, l ˈɪ f t s
LIGGET, l ˈɪ g ɪ t
LIGGETT, l ˈɪ g ɪ t
LIGGETT'S, l ˈɪ g ˌɛ t s
LIGGINS, l ˈɪ g ɪ n z
LIGHT, l ˈaɪ t
LIGHT'S, l ˈaɪ t s
LIGHTED, l ˈaɪ t ɪ d
LIGHTER, l ˈaɪ t ə
LIGHTING, l ˈaɪ t ɪ ŋ
LIGHTING'S, l ˈaɪ t ɪ ŋ z
LIGHTLY, l ˈaɪ t l iː
LIGHTNING, l ˈaɪ t n ɪ ŋ
LIGHTNINGS, l ˈaɪ t n ɪ ŋ z
LIGHTS, l ˈaɪ t s
LIGHTSHIP, l ˈaɪ t ʃ ˌɪ p
LIGHTSHIPS, l ˈaɪ t ʃ ˌɪ p s
LIGHTWEIGHT, l ˈaɪ t w ˈeɪ t
LIGNIN, l ˈɪ g n ɪ n
LIGNITE, l ˈɪ g n ˌaɪ t
LIHUE, l ɪ h w ˈeɪ
LIKE, l ˈaɪ k
LIKED, l ˈaɪ k t
LIKELY, l ˈaɪ k l iː
LIKES, l ˈaɪ k s
LIKEWISE, l ˈaɪ k w ˌaɪ z
LIKING, l ˈaɪ k ɪ ŋ
LIKINS, l ˈɪ k ɪ n z
LIL, l ˈɪ l
LILE, l ˈaɪ l
LILES, l ˈaɪ l z
LILITH, l ˈɪ l ɪ θ
LILL, l ˈɪ l
LILLE, l ˈɪ l
LILLICH, l ˈɪ l ɪ k
LILLIS, l ˈɪ l ɪ s
LILT, l ˈɪ l t
LIM, l ˈɪ m
LIMB, l ˈɪ m
LIMBED, l ˈɪ m d
LIMBS, l ˈɪ m z
LIME, l ˈaɪ m
LIMELIGHT, l ˈaɪ m l ˌaɪ t
LIMES, l ˈaɪ m z
LIMINE, l ɪ m ˈaɪ n
LIMING, l ˈaɪ m ɪ ŋ
LIMIT, l ˈɪ m ɪ t
LIMITATIONS, l ˌɪ m ɪ t ˈeɪ ʃ ə n z
LIMITED, l ˈɪ m ɪ t ɪ d
LIMITED'S, l ˈɪ m ɪ t ɪ d z
LIMITS, l ˈɪ m ɪ t s
LIMP, l ˈɪ m p
LIMPED, l ˈɪ m p t
LIMPING, l ˈɪ m p ɪ ŋ
LIMPS, l ˈɪ m p s
LIN, l ˈɪ n
LINAGE, l ˈaɪ n ɪ dʒ
LINC, l ˈɪ ŋ k
LINCE, l ˈɪ n s
LINCH, l ˈɪ n tʃ
LINCHPIN, l ˈɪ n tʃ p ˌɪ n
LINCK, l ˈɪ ŋ k
LINCKS, l ˈɪ ŋ k s
LINCOLN, l ˈɪ ŋ k ə n
LIND, l ˈɪ n d
LINDA, l ˈɪ n d ə
LINDANE, l ˈɪ n d ˌeɪ n
LINDBECK, l ˈaɪ n d b ɛ k
LINDE, l ˈɪ n d
LINDH, l ˈɪ n d
LINDIG, l ˈɪ n d ɪ g
LINDQUIST, l ˈɪ n d k w ˌɪ s t
LINDSETH, l ˈɪ n d s ɪ θ
LINDSEY, l ˈɪ n d z iː
LINDSTEDT, l ˈɪ n d s t ɪ t
LINE, l ˈaɪ n
LINE'S, l ˈaɪ n z
LINED, l ˈaɪ n d
LINES, l ˈaɪ n z
LINES', l ˈaɪ n z
LINETTE, l ɪ n ˈɛ t
LING, l ˈɪ ŋ
LINGG, l ˈɪ ŋ g
LINGS, l ˈɪ ŋ z
LINGUIST, l ˈɪ ŋ g w ɪ s t
LINGUISTIC, l ɪ ŋ g w ˈɪ s t ɪ k
LINGUISTICS, l ɪ ŋ g w ˈɪ s t ɪ k s
LINGUISTS, l ˈɪ ŋ g w ɪ s t s
LINH, l ˈɪ n
LINING, l ˈaɪ n ɪ ŋ
LININGS, l ˈaɪ n ɪ ŋ z
LINK, l ˈɪ ŋ k
LINK'S, l ˈɪ ŋ k s
LINKAGE, l ˈɪ ŋ k ɪ dʒ
LINKAGES, l ˈɪ ŋ k ɪ dʒ ɪ z
LINKE, l ˈɪ ŋ k
LINKED, l ˈɪ ŋ k t
LINKING, l ˈɪ ŋ k ɪ ŋ
