'D(1), d
LANDED, l ˈæ n d ɪ d
LANDING, l ˈæ n d ɪ ŋ
LANDLORD, l ˈæ n d l ˌɔː d
LANDLORDS, l ˈæ n d l ˌɔː d z
LANDOWNERS, l ˈæ n d ˌəʊ n ə z
LANDS, l ˈæ n d z
LANDSCAPE(1), l ˈæ n s k ˌeɪ p
LANDSCAPE(2), l ˈæ n d s k ˌeɪ p
LANDSCAPES(1), l ˈæ n s k ˌeɪ p s
LANDSCAPES(2), l ˈæ n d s k ˌeɪ p s
LANE, l ˈeɪ n
LANES, l ˈeɪ n z
LANGUAGE, l ˈæ ŋ g w ɪ dʒ
LANGUAGES, l ˈæ ŋ g w ɪ dʒ ɪ z
LAOS(1), l ˈɑː ɒ s
LAOS(2), l ˈaʊ s
LAOS(3), l ˈaʊ z
LAP, l ˈæ p
LAPTOP, l ˈæ p t ˌɒ p
LAPTOPS, l ˈæ p t ˌɒ p s
LARGE, l ˈɑː dʒ
LARGE-SCALE, l ˈɑː dʒ s k ˌeɪ l
LARGELY, l ˈɑː dʒ l iː
LARGER, l ˈɑː dʒ ə
LARGEST, l ˈɑː dʒ ɪ s t
LARRY, l ˈæ ɹ iː
LASER, l ˈeɪ z ə
LASS, l ˈæ s
LAST, l ˈɑː s t
LASTED, l ˈɑː s t ɪ d
LASTING, l ˈɑː s t ɪ ŋ
LASTS, l ˈɑː s t s
LATE, l ˈeɪ t
LATELY, l ˈeɪ t l iː
LATER, l ˈeɪ t ə
LATEST, l ˈeɪ t ə s t
LATEX, l ˈeɪ t ˌɛ k s
LATIN, l ˈæ t ɪ n
LATINA, l æ t ˈiː n ə
LATINAS, l æ t ˈiː n ə z
LATINO, l æ t ˈiː n əʊ
LATITUDE, l ˈæ t ɪ t j ˌuː d
LATTER, l ˈæ t ə
LATVIA, l ˈæ t v ɪə
LAUGH, l ˈɑː f
LAUGHED, l ˈɑː f t
LAUGHING, l ˈɑː f ɪ ŋ
LAUGHS, l ˈɑː f s
LAUGHTER, l ˈɑː f t ə
LAUNCH, l ˈɔː n tʃ
LAUNCHED, l ˈɔː n tʃ t
LAUNCHES, l ˈɔː n tʃ ɪ z
LAUNDRY, l ˈɒ n d ɹ iː
LAURA, l ˈɔː ɹ ə
LAUREN, l ˈɔː ɹ ə n
LAURENT, l ˈɒ ɹ ə n t
LAW, l ˈɔː
LAWN, l ˈɔː n
LAWRENCE, l ˈɒ ɹ ə n s
LAWS, l ˈɔː z
LAWSUIT, l ˈɔː s ˌuː t
LAWYER(1), l ˈɔɪ ə
LAWYER(2), l ˈɔː j ə
LAWYERS(1), l ˈɔɪ ə z
LAWYERS(2), l ˈɔː j ə z
LAY, l ˈeɪ
LAYER, l ˈeɪ ə
LAYERS, l ˈeɪ ə z
LAYING, l ˈeɪ ɪ ŋ
LAYOUT, l ˈeɪ ˌaʊ t
LAZY, l ˈeɪ z iː
LEA, l ˈiː
LEAD(1), l ˈiː d
LEAD(2), l ˈɛ d
LEADER, l ˈiː d ə
LEADERS, l ˈiː d ə z
LEADERSHIP, l ˈiː d ə ʃ ˌɪ p
LEADING, l ˈiː d ɪ ŋ
LEADS, l ˈiː d z
LEAF, l ˈiː f
LEAFLET, l ˈiː f l ə t
LEAFLETS, l ˈiː f l ə t s
LEAGUE, l ˈiː g
LEAK, l ˈiː k
LEAN, l ˈiː n
LEANED, l ˈiː n d
LEANING, l ˈiː n ɪ ŋ
LEAP, l ˈiː p
LEARN, l ˈɜː n
LEARNED(1), l ˈɜː n d
LEARNED(2), l ˈɜː n ɪ d
LEARNER, l ˈɜː n ə
LEARNERS, l ˈɜː n ə z
LEARNING, l ˈɜː n ɪ ŋ
LEARNT, l ˈɜː n t
LEASE, l ˈiː s
LEASING, l ˈiː s ɪ ŋ
LEAST, l ˈiː s t
LEATHER, l ˈɛ ð ə
LEAVE, l ˈiː v
LEAVES, l ˈiː v z
LEAVING, l ˈiː v ɪ ŋ
LEBANON, l ˈɛ b ə n ə n
LECTURE, l ˈɛ k tʃ ə
LECTURER, l ˈɛ k tʃ ə ɹ ə
LECTURES, l ˈɛ k tʃ ə z
LED, l ˈɛ d
LEE, l ˈiː
LEEDS, l ˈiː d z
LEFT, l ˈɛ f t
LEG, l ˈɛ g
LEGACY, l ˈɛ g ə s iː
LEGAL, l ˈiː g ə l
LEGALLY, l ˈiː g ə l iː
LEGEND, l ˈɛ dʒ ə n d
LEGENDARY, l ˈɛ dʒ ɪ n d ə ɹ iː
LEGENDS, l ˈɛ dʒ ə n d z
LEGGINGS, l ˈɛ g ɪ ŋ z
LEGISLATION, l ˌɛ dʒ ɪ s l ˈeɪ ʃ ə n
LEGISLATIVE, l ˈɛ dʒ ɪ s l ə t ɪ v
LEGISLATURE, l ˈɛ dʒ ɪ s l ˌeɪ tʃ ə
LEGITIMATE, l ə dʒ ˈɪ t ɪ m ə t
LEGO, l ˈɛ g əʊ
LEGS, l ˈɛ g z
LEICESTER, l ˈɛ s t ə
LEICESTERSHIRE, l ˈɛ s t ə ʃ ə
LEIGH, l ˈiː
LEISURE(1), l ˈɛ ʒ ə
LEISURE(2), l ˈiː ʒ ə
LEMON, l ˈɛ m ə n
LEMONADE, l ˌɛ m ə n ˈeɪ d
LEN, l ˈɛ n
LEND, l ˈɛ n d
LENDER, l ˈɛ n d ə
LENDERS, l ˈɛ n d ə z
LENDING, l ˈɛ n d ɪ ŋ
LENGTH(1), l ˈɛ ŋ θ
LENGTH(2), l ˈɛ ŋ k θ
LENGTHS(1), l ˈɛ ŋ θ s
LENGTHS(2), l ˈɛ ŋ k θ s
LENGTHY, l ˈɛ ŋ θ iː
LENS, l ˈɛ n z
LENSES, l ˈɛ n z ɪ z
LENT, l ˈɛ n t
LEO, l ˈiː əʊ
LEONARD, l ˈɛ n ə d
LESBIAN, l ˈɛ z b ɪə n
LESBIANS, l ˈɛ z b ɪə n z
LESLEY, l ˈɛ z l iː
LESLIE, l ˈɛ z l iː
LESS, l ˈɛ s
LESSER, l ˈɛ s ə
LESSON, l ˈɛ s ə n
LESSONS, l ˈɛ s ə n z
LET, l ˈɛ t
LET'S, l ˈɛ t s
LETS, l ˈɛ t s
LETTER, l ˈɛ t ə
LETTERS, l ˈɛ t ə z
LETTING, l ˈɛ t ɪ ŋ
LETTUCE, l ˈɛ t ɪ s
LEVEL, l ˈɛ v ə l
LEVELS, l ˈɛ v ə l z
LEVY(1), l ˈiː v aɪ
LEVY(2), l ˈɛ v iː
LEWIS, l ˈuː ɪ s
LEWISHAM, l ˈuː ɪ ʃ ə m
LEXICAL, l ˈɛ k s ɪ k ə l
LIABILITIES, l ˌaɪ ə b ˈɪ l ɪ t iː z
LIABILITY, l ˌaɪ ə b ˈɪ l ɪ t iː
LIABLE, l ˈaɪ ə b ə l
LIAISON(1), l ɪ ˈeɪ z ə n
LIAISON(2), l ɪ ˈeɪ z ˌɒ n
LIAM, l ˈiː ə m
LIAR, l ˈaɪ ə
LIBERAL(1), l ˈɪ b ɹ ə l
LIBERAL(2), l ˈɪ b ə ɹ ə l
LIBERALS(1), l ˈɪ b ɹ ə l z
LIBERALS(2), l ˈɪ b ə ɹ ə l z
LIBERATION, l ˌɪ b ə ɹ ˈeɪ ʃ ə n
LIBERIA, l aɪ b ˈɪə ɹ ɪə
LIBERTY, l ˈɪ b ə t iː
LIBRARIAN, l aɪ b ɹ ˈɛə ɹ ɪə n
LIBRARIES, l ˈaɪ b ɹ ə ɹ iː z
LIBRARY, l ˈaɪ b ɹ ə ɹ iː
LICE, l ˈaɪ s
LICENCE, l ˈaɪ s ə n s
LICENSE, l ˈaɪ s ə n s
LICENSED, l ˈaɪ s ə n s t
LICENSES, l ˈaɪ s ə n s ɪ z
LICENSING, l ˈaɪ s ə n s ɪ ŋ
LICK, l ˈɪ k
LICKING, l ˈɪ k ɪ ŋ
LID, l ˈɪ d
LIE, l ˈaɪ
LIECHTENSTEIN, l ˈɪ k t ə n s t ˌaɪ n
LIED, l ˈaɪ d
LIES, l ˈaɪ z
LIEUTENANT, l uː t ˈɛ n ə n t
LIFE, l ˈaɪ f
LIFESPAN, l ˈaɪ f s p ˌæ n
LIFESTYLE, l ˈaɪ f s t ˌaɪ l
LIFETIME, l ˈaɪ f t ˌaɪ m
LIFT, l ˈɪ f t
LIFTED, l ˈɪ f t ɪ d
LIFTING, l ˈɪ f t ɪ ŋ
LIGHT, l ˈaɪ t
LIGHTER, l ˈaɪ t ə
LIGHTING, l ˈaɪ t ɪ ŋ
LIGHTLY, l ˈaɪ t l iː
LIGHTNING, l ˈaɪ t n ɪ ŋ
LIGHTS, l ˈaɪ t s
LIGHTWEIGHT, l ˈaɪ t w ˌeɪ t
LIKE, l ˈaɪ k
LIKED, l ˈaɪ k t
LIKELIHOOD, l ˈaɪ k l ɪ h ˌʊ d
LIKELY, l ˈaɪ k l iː
LIKES, l ˈaɪ k s
LIKEWISE, l ˈaɪ k w ˌaɪ z
LILY, l ˈɪ l iː
LIMB, l ˈɪ m
LIMBS, l ˈɪ m z
LIME, l ˈaɪ m
LIMIT, l ˈɪ m ɪ t
LIMITATION, l ˌɪ m ɪ t ˈeɪ ʃ ə n
LIMITATIONS, l ˌɪ m ɪ t ˈeɪ ʃ ə n z
LIMITED, l ˈɪ m ɪ t ɪ d
LIMITING, l ˈɪ m ɪ t ɪ ŋ
LIMITS, l ˈɪ m ɪ t s
LIMOUSINES(1), l ˈɪ m ə z ˌiː n z
LIMOUSINES(2), l ˌɪ m ə z ˈiː n z
LINCOLN, l ˈɪ ŋ k ə n
LINCOLNSHIRE, l ˈɪ ŋ k ə n ʃ ə
LINDA, l ˈɪ n d ə
LINDSAY, l ˈɪ n d z iː
LINDSEY, l ˈɪ n d z iː
LINE, l ˈaɪ n
LINEAR, l ˈɪ n ɪə
LINED, l ˈaɪ n d
LINEN, l ˈɪ n ə n
LINES, l ˈaɪ n z
LINGERIE, l ˈɒ n ʒ ə ɹ iː
LINGUISTIC, l ɪ ŋ g w ˈɪ s t ɪ k
LINGUISTICS, l ɪ ŋ g w ˈɪ s t ɪ k s
LINK, l ˈɪ ŋ k
LINKED, l ˈɪ ŋ k t
LINKING, l ˈɪ ŋ k ɪ ŋ
LINKS, l ˈɪ ŋ k s
LINUX(1), l ˈɪ n ə k s
LINUX(2), l ˈaɪ n ə k s
LION, l ˈaɪ ə n
LIONS, l ˈaɪ ə n z
LIP, l ˈɪ p
LIPS, l ˈɪ p s
LIPSTICK, l ˈɪ p s t ˌɪ k
LIQUID, l ˈɪ k w ɪ d
LIQUOR, l ˈɪ k ə
LISA, l ˈiː s ə
LIST, l ˈɪ s t
LISTED, l ˈɪ s t ɪ d
LISTEN, l ˈɪ s ə n
LISTENED, l ˈɪ s ə n d
LISTENING(1), l ˈɪ s n ɪ ŋ
LISTENING(2), l ˈɪ s ə n ɪ ŋ
LISTING, l ˈɪ s t ɪ ŋ
LISTINGS, l ˈɪ s t ɪ ŋ z
LISTS, l ˈɪ s t s
LIT, l ˈɪ t
LITE, l ˈaɪ t
LITERACY, l ˈɪ t ə ɹ ə s iː
LITERALLY(1), l ˈɪ t ɹ ə l iː
LITERALLY(2), l ˈɪ t ə ɹ ə l iː
LITERARY, l ˈɪ t ə ɹ ə ɹ iː
LITERATURE, l ˈɪ t ə ɹ ə tʃ ə
LITHUANIA, l ˌɪ θ j ʊ ˈeɪ n ɪə
LITIGATION, l ˌɪ t ɪ g ˈeɪ ʃ ə n
LITTLE, l ˈɪ t ə l
LIVE(1), l ˈɪ v
LIVE(2), l ˈaɪ v
LIVED, l ˈɪ v d
LIVELY, l ˈaɪ v l iː
LIVER, l ˈɪ v ə
LIVERPOOL, l ˈɪ v ə p ˌuː l
LIVES(1), l ˈɪ v z
LIVES(2), l ˈaɪ v z
LIVESTOCK, l ˈaɪ v s t ˌɒ k
LIVING, l ˈɪ v ɪ ŋ
LIZ, l ˈɪ z
LLOYD, l ˈɔɪ d
LO, l ˈəʊ
LOAD, l ˈəʊ d
LOADED, l ˈəʊ d ɪ d
LOADING, l ˈəʊ d ɪ ŋ
LOADS, l ˈəʊ d z
LOAF, l ˈəʊ f
LOAN, l ˈəʊ n
LOANS, l ˈəʊ n z
LOATH, l ˈəʊ ð
LOAVES, l ˈəʊ v z
LOBBY, l ˈɒ b iː
LOCAL, l ˈəʊ k ə l
LOCALE, l əʊ k ˈɑː l
LOCALLY, l ˈəʊ k ə l iː
LOCALS, l ˈəʊ k ə l z
LOCATE, l ˈəʊ k ˌeɪ t
LOCATED, l ˈəʊ k ˌeɪ t ɪ d
LOCATION, l əʊ k ˈeɪ ʃ ə n
LOCATIONS, l əʊ k ˈeɪ ʃ ə n z
LOCATOR, l ˈəʊ k ˌeɪ t ə
LOCH, l ˈɒ k
LOCK, l ˈɒ k
LOCKED, l ˈɒ k t
LOCKER, l ˈɒ k ə
LOCKING, l ˈɒ k ɪ ŋ
LOCKS, l ˈɒ k s
LOCOMOTIVE, l ˌəʊ k ə m ˈəʊ t ɪ v
LODGE, l ˈɒ dʒ
LODGING, l ˈɒ dʒ ɪ ŋ
LOFT, l ˈɒ f t
LOG, l ˈɒ g
LOGGED, l ˈɒ g d
LOGGING, l ˈɒ g ɪ ŋ
LOGIC, l ˈɒ dʒ ɪ k
LOGICAL, l ˈɒ dʒ ɪ k ə l
LOGIN, l ˈɒ g ɪ n
LOGISTICS, l ə dʒ ˈɪ s t ɪ k s
LOGO, l ˈəʊ g əʊ
LOGOS, l ˈəʊ g ˌəʊ z
LOGS, l ˈɒ g z
LOL, l ˈɒ l
LOLLIPOP, l ˈɒ l ɪ p ˌɒ p
LONDON, l ˈɐ n d ə n
LONE, l ˈəʊ n
LONELY, l ˈəʊ n l iː
LONG, l ˈɒ ŋ
LONG-TERM, l ˈɒ ŋ t ɜː m
LONGER, l ˈɒ ŋ g ə
LONGEST, l ˈɒ ŋ g ɪ s t
LONGITUDE(1), l ˈɒ n dʒ ɪ t j ˌuː d
LONGITUDE(2), l ˈɒ ŋ g ɪ t j ˌuː d
LOO, l ˈuː
LOOK, l ˈʊ k
LOOKED, l ˈʊ k t
LOOKING, l ˈʊ k ɪ ŋ
LOOKS, l ˈʊ k s
LOOKUP, l ˈʊ k ˌɐ p
LOOP, l ˈuː p
LOOPS, l ˈuː p s
LOOSE, l ˈuː s
LOPEZ, l ˈəʊ p ɛ z
LORD, l ˈɔː d
LORDS, l ˈɔː d z
LORDSHIP, l ˈɔː ʃ ɪ p
LORNA, l ˈɔː n ə
LORRAINE, l ɒ ɹ ˈeɪ n
LORRIES, l ˈɒ ɹ iː z
LORRY, l ˈɒ ɹ iː
LOS ANGELES, l ɒ s ˈæ n dʒ ɪ l ˌiː z
LOSE, l ˈuː z
LOSER, l ˈuː z ə
LOSES, l ˈuː z ɪ z
LOSING, l ˈuː z ɪ ŋ
LOSS, l ˈɒ s
LOSSES, l ˈɒ s ɪ z
LOST, l ˈɒ s t
LOT, l ˈɒ t
LOTHIAN, l ˈəʊ ð ɪə n
LOTS, l ˈɒ t s
LOTTERY, l ˈɒ t ə ɹ iː
LOTUS, l ˈəʊ t ə s
LOU, l ˈuː
LOUD, l ˈaʊ d
LOUDER, l ˈaʊ d ə
LOUDLY, l ˈaʊ d l iː
LOUIS, l ˈuː iː
LOUISE, l uː ˈiː z
LOUISIANA, l uː ˌiː z ɪ ˈæ n ə
LOUISVILLE, l ˈuː ɪ v ˌɪ l
LOUNGE, l ˈaʊ n dʒ
LOUSE, l ˈaʊ s
LOUSY, l ˈaʊ z iː
LOVE, l ˈɐ v
LOVED, l ˈɐ v d
LOVELY, l ˈɐ v l iː
LOVER, l ˈɐ v ə
LOVERS, l ˈɐ v ə z
LOVES, l ˈɐ v z
LOVING, l ˈɐ v ɪ ŋ
LOW, l ˈəʊ
LOWER, l ˈəʊ ə
LOWERED, l ˈəʊ ə d
LOWEST, l ˈəʊ ɪ s t
LOWS, l ˈəʊ z
LOYAL, l ˈɔɪ ə l
LOYALTY, l ˈɔɪ ə l t iː
LUCAS, l ˈuː k ə s
LUCIA, l ˈuː ʃ ə
LUCK, l ˈɐ k
LUCKILY, l ˈɐ k ɪ l iː
LUCKY, l ˈɐ k iː
LUCY, l ˈuː s iː
LUGGAGE, l ˈɐ g ɪ dʒ
LUKE, l ˈuː k
LUMP, l ˈɐ m p
LUNATIC, l ˈuː n ə t ˌɪ k
LUNCH, l ˈɐ n tʃ
LUNCHTIME, l ˈɐ n tʃ t ˌaɪ m
LUNG, l ˈɐ ŋ
LUNGS, l ˈɐ ŋ z
LUTHER, l ˈuː θ ə
LUTON, l ˈuː t ə n
LUXEMBOURG, l ˈɐ k s ə m b ˌɜː g
LUXURY, l ˈɐ k ʃ ə ɹ iː
LYING, l ˈaɪ ɪ ŋ
LYN, l ˈɪ n
LYNDA, l ˈɪ n d ə
LYNN, l ˈɪ n
LYRIC, l ˈɪ ɹ ɪ k
LYRICS, l ˈɪ ɹ ɪ k s
MA'AM, m ˈæ m
MAC, m ˈæ k
MACDONALD, m ə k d ˈɒ n ə l d
MACEDONIA, m ˌæ s ɪ d ˈəʊ n ɪə
MACHINE, m ə ʃ ˈiː n
MACHINERY(1), m ə ʃ ˈiː n ɹ iː
MACHINERY(2), m ə ʃ ˈiː n ə ɹ iː
MACHINES, m ə ʃ ˈiː n z
MACINTOSH, m ˈæ k ɪ n t ˌɒ ʃ
MACKEREL, m ˈæ k ə ɹ ə l
MACRO, m ˈæ k ɹ əʊ
MAD, m ˈæ d
MADAGASCAR, m ˌæ d æ g ˈæ s k ə
MADAM, m ˈæ d ə m
MADAME(1), m ˈæ d ə m
MADAME(2), m ə d ˈɑː m
MADE, m ˈeɪ d
MADEMOISELLE, m ˌæ d ə m ə z ˈɛ l
MADGE, m ˈæ dʒ
MADISON, m ˈæ d ɪ s ə n
MADNESS, m ˈæ d n ə s
MADONNA, m ə d ˈɒ n ə
MADRID, m ə d ɹ ˈɪ d
MAE, m ˈeɪ
MAG, m ˈæ g
MAGAZINE, m ˈæ g ə z ˌiː n
MAGAZINES, m ˈæ g ə z ˌiː n z
MAGGIE, m ˈæ g iː
MAGIC, m ˈæ dʒ ɪ k
MAGICAL, m ˈæ dʒ ɪ k ə l
MAGISTRATES, m ˈæ dʒ ɪ s t ɹ ˌeɪ t s
MAGNET, m ˈæ g n ɪ t
MAGNETIC, m æ g n ˈɛ t ɪ k
MAGNIFICENT, m æ g n ˈɪ f ɪ s ə n t
MAGNITUDE, m ˈæ g n ɪ t j ˌuː d
MAID, m ˈeɪ d
MAIDEN, m ˈeɪ d ə n
MAIL, m ˈeɪ l
MAILED, m ˈeɪ l d
MAILING, m ˈeɪ l ɪ ŋ
MAILMAN, m ˈeɪ l m ˌæ n
MAILS, m ˈeɪ l z
MAIN, m ˈeɪ n
MAINE, m ˈeɪ n
MAINLAND, m ˈeɪ n l ə n d
MAINLY, m ˈeɪ n l iː
MAINS, m ˈeɪ n z
MAINSTREAM, m ˈeɪ n s t ɹ ˌiː m
MAINTAIN, m eɪ n t ˈeɪ n
MAINTAINED, m eɪ n t ˈeɪ n d
MAINTAINING, m eɪ n t ˈeɪ n ɪ ŋ
MAINTAINS, m eɪ n t ˈeɪ n z
MAINTENANCE(1), m ˈeɪ n t n ə n s
MAINTENANCE(2), m ˈeɪ n t ə n ə n s
MAJESTY, m ˈæ dʒ ə s t iː
MAJOR, m ˈeɪ dʒ ə
MAJORITY, m ə dʒ ˈɒ ɹ ɪ t iː
MAKE, m ˈeɪ k
MAKE-UP, m ˈeɪ k ˌɐ p
MAKER, m ˈeɪ k ə
MAKERS, m ˈeɪ k ə z
MAKES, m ˈeɪ k s
MAKEUP, m ˈeɪ k ˌɐ p
MAKING, m ˈeɪ k ɪ ŋ
MALAWI, m ə l ˈɑː w iː
MALAYSIA, m ə l ˈeɪ ʒ ə
MALCOLM, m ˈæ l k ə m
MALDIVES, m ˈɔː l d iː v z
MALE, m ˈeɪ l
MALES, m ˈeɪ l z
MALI, m ˈɑː l iː
MALL, m ˈɔː l
MALPRACTICE, m æ l p ɹ ˈæ k t ɪ s
MALTA, m ˈɔː l t ə
MAM, m ˈæ m
MAMA, m ə m ˈɑː
MAMBO, m ˈæ m b əʊ
MAMMAL, m ˈæ m ə l
MAMMALS, m ˈæ m ə l z
MAN, m ˈæ n
MANAGE, m ˈæ n ɪ dʒ
MANAGED, m ˈæ n ɪ dʒ d
MANAGEMENT, m ˈæ n ɪ dʒ m ə n t
MANAGER, m ˈæ n ɪ dʒ ə
MANAGERIAL, m ˌæ n ɪ dʒ ˈɪə ɹ ɪə l
MANAGERS, m ˈæ n ɪ dʒ ə z
MANAGING, m ˈæ n ɪ dʒ ɪ ŋ
MANCHESTER, m ˈæ n tʃ ɪ s t ə
MANDATE(1), m ˈæ n d ˌeɪ t
MANDATE(2), m ˈæ n d ɪ t
MANDATORY, m ˈæ n d ə t ə ɹ iː
MANDY, m ˈæ n d iː
MANGA, m ˈæ ŋ g ə
MANHATTAN, m æ n h ˈæ t ə n
MANIPULATION, m ə n ˌɪ p j ʊ l ˈeɪ ʃ ə n
MANITOBA, m ˌæ n ɪ t ˈəʊ b ə
MANKIND, m ˌæ n k ˈaɪ n d
MANNER, m ˈæ n ə
MANNERS, m ˈæ n ə z
MANOR, m ˈæ n ə
MANPOWER, m ˈæ n p ˌaʊ ə
MANSFIELD, m ˈæ n s f ˌiː l d
MANUAL, m ˈæ n j ʊə l
MANUALLY, m ˈæ n j ʊə l iː
MANUALS, m ˈæ n j ʊə l z
MANUFACTURE, m ˌæ n j ʊ f ˈæ k tʃ ə
MANUFACTURED, m ˌæ n j ʊ f ˈæ k tʃ ə d
MANUFACTURER, m ˌæ n j ʊ f ˈæ k tʃ ə ɹ ə
MANUFACTURERS, m ˌæ n j ʊ f ˈæ k tʃ ə ɹ ə z
MANUFACTURING, m ˌæ n j ʊ f ˈæ k tʃ ə ɹ ɪ ŋ
MANUSCRIPT, m ˈæ n j ʊ s k ɹ ˌɪ p t
MANY, m ˈɛ n iː
MAP, m ˈæ p
MAPLE, m ˈeɪ p ə l
MAPPING, m ˈæ p ɪ ŋ
MAPS, m ˈæ p s
MARATHON, m ˈæ ɹ ə θ ə n
MARBLE, m ˈɑː b ə l
MARC, m ˈɑː k
MARCH, m ˈɑː tʃ
MARCHING, m ˈɑː tʃ ɪ ŋ
MARCUS, m ˈɑː k ə s
MARGARET(1), m ˈɑː g ɹ ə t
MARGARET(2), m ˈɑː g ɹ ɪ t
MARGARET(3), m ˈɑː g ə ɹ ɪ t
MARGARINE, m ˈɑː dʒ ə ɹ ˌiː n
MARGE, m ˈɑː dʒ
MARGIN, m ˈɑː dʒ ɪ n
MARGINAL, m ˈɑː dʒ ɪ n ə l
MARGINS, m ˈɑː dʒ ɪ n z
MARGOT, m ˈɑː g əʊ
MARIA, m ə ɹ ˈiː ə
MARIAH, m ə ɹ ˈaɪ ə
MARIE, m ə ɹ ˈiː
MARIJUANA, m ˌæ ɹ ɪ h w ˈɑː n ə
MARILYN, m ˈæ ɹ ɪ l ɪ n
MARINA, m ə ɹ ˈiː n ə
MARINE, m ə ɹ ˈiː n
MARIO, m ˈæ ɹ ɪ əʊ
MARION, m ˈæ ɹ ɪə n
MARITIME, m ˈæ ɹ ɪ t ˌaɪ m
MARK, m ˈɑː k
MARKED, m ˈɑː k t
MARKER, m ˈɑː k ə
MARKERS, m ˈɑː k ə z
MARKET, m ˈɑː k ɪ t
MARKETING, m ˈɑː k ɪ t ɪ ŋ
MARKETPLACE, m ˈɑː k ɪ t p l ˌeɪ s
MARKETS, m ˈɑː k ɪ t s
MARKING, m ˈɑː k ɪ ŋ
MARKS, m ˈɑː k s
MARMALADE, m ˈɑː m ə l ˌeɪ d
MARRIAGE, m ˈæ ɹ ɪ dʒ
MARRIAGES, m ˈæ ɹ ɪ dʒ ɪ z
MARRIED, m ˈæ ɹ ɪ d
MARRIOTT, m ˈæ ɹ ɪ ə t
MARRY, m ˈæ ɹ iː
MARRYING, m ˈæ ɹ iː ɪ ŋ
MARS, m ˈɑː z
MARSH, m ˈɑː ʃ
MARSHAL, m ˈɑː ʃ ə l
MARSHALL, m ˈɑː ʃ ə l
MART, m ˈɑː t
MARTHA, m ˈɑː θ ə
MARTIAL, m ˈɑː ʃ ə l
MARTIN, m ˈɑː t ɪ n
MARTS, m ˈɑː t s
MARVEL, m ˈɑː v ə l
MARVELLOUS, m ˈɑː v ə l ə s
MARVELOUS, m ˈɑː v ə l ə s
MARX, m ˈɑː k s
MARXIST, m ˈɑː k s ɪ s t
MARY, m ˈɛə ɹ iː
MARYLAND, m ˈæ ɹ ɪ l ə n d
MASK, m ˈɑː s k
MASON, m ˈeɪ s ə n
MASS, m ˈæ s
MASSACHUSETTS, m ˌæ s ə tʃ ˈuː s ɪ t s
MASSAGE, m ə s ˈɑː ʒ
MASSES, m ˈæ s ɪ z
MASSIVE, m ˈæ s ɪ v
MASTER, m ˈɑː s t ə
MASTERCARD, m ˈɑː s t ə k ˌɑː d
MASTERS, m ˈɑː s t ə z
MASTURBATING, m ˈæ s t ə b ˌeɪ t ɪ ŋ
MASTURBATION, m ˌæ s t ə b ˈeɪ ʃ ə n
MAT, m ˈæ t
MATCH, m ˈæ tʃ
MATCHED, m ˈæ tʃ t
MATCHES, m ˈæ tʃ ɪ z
MATCHING, m ˈæ tʃ ɪ ŋ
MATE, m ˈeɪ t
MATERIAL, m ə t ˈɪə ɹ ɪə l
MATERIALS, m ə t ˈɪə ɹ ɪə l z
MATERNITY, m ə t ˈɜː n ɪ t iː
MATES, m ˈeɪ t s
MATEY, m ˈeɪ t iː
MATH, m ˈæ θ
MATHEMATICAL, m ˌæ θ ə m ˈæ t ɪ k ə l
MATHEMATICS, m ˌæ θ ə m ˈæ t ɪ k s
MATHS, m ˈæ θ s
MATING, m ˈeɪ t ɪ ŋ
MATRIX, m ˈeɪ t ɹ ɪ k s
MATS, m ˈæ t s
MATT, m ˈæ t
MATTER, m ˈæ t ə
MATTERS, m ˈæ t ə z
MATTHEW, m ˈæ θ j uː
MATTRESS, m ˈæ t ɹ ə s
MATURE(1), m ə tʃ ˈʊə
MATURE(2), m ə t j ˈʊə
MATURITY(1), m ə tʃ ˈʊə ɹ ɪ t iː
MATURITY(2), m ə t j ˈʊə ɹ ɪ t iː
MAUREEN, m ˈɔː ɹ iː n
MAURICE, m ˈɒ ɹ ɪ s
MAURITIUS, m ə ɹ ˈɪ ʃ ə s
MAX, m ˈæ k s
MAXIMIZE, m ˈæ k s ɪ m ˌaɪ z
MAXIMUM, m ˈæ k s ɪ m ə m
MAXINE, m ˈæ k s iː n
MAXWELL, m ˈæ k s w ə l
MAY, m ˈeɪ
MAYBE, m ˈeɪ b iː
MAYOR, m ˈɛə
MAZDA, m ˈæ z d ə
MCDONALD, m ə k d ˈɒ n ə l d
ME, m ˈiː
MEAL, m ˈiː l
MEALS, m ˈiː l z
MEAN, m ˈiː n
MEANING, m ˈiː n ɪ ŋ
MEANINGFUL, m ˈiː n ɪ ŋ f ə l
MEANINGS, m ˈiː n ɪ ŋ z
MEANS, m ˈiː n z
MEANT, m ˈɛ n t
MEANTIME, m ˈiː n t ˌaɪ m
MEANWHILE, m ˈiː n w ˌaɪ l
MEASURE, m ˈɛ ʒ ə
MEASURED, m ˈɛ ʒ ə d
MEASUREMENT, m ˈɛ ʒ ə m ə n t
MEASUREMENTS, m ˈɛ ʒ ə m ə n t s
MEASURES, m ˈɛ ʒ ə z
MEASURING, m ˈɛ ʒ ə ɹ ɪ ŋ
MEAT, m ˈiː t
MECHANICAL, m ə k ˈæ n ɪ k ə l
MECHANICS, m ə k ˈæ n ɪ k s
MECHANISM, m ˈɛ k ə n ˌɪ z ə m
