'COS, k ˈə z
GROIN, g ɹ ˈɔɪ n
GROOM, g ɹ ˈuː m
GROOVE, g ɹ ˈuː v
GROPE, g ɹ ˈəʊ p
GROSS, g ɹ ˈəʊ s
GROTESQUE, g ɹ əʊ t ˈɛ s k
GROUND, g ɹ ˈaʊ n d
GROUNDS, g ɹ ˈaʊ n d z
GROUNDWATER, g ɹ ˈaʊ n d w ˌɔː t ə
GROUP, g ɹ ˈuː p
GROUPING, g ɹ ˈuː p ɪ ŋ
GROUPINGS, g ɹ ˈuː p ɪ ŋ z
GROUPS, g ɹ ˈuː p s
GROVE, g ɹ ˈəʊ v
GROW, g ɹ ˈəʊ
GROWING, g ɹ ˈəʊ ɪ ŋ
GROWL, g ɹ ˈaʊ l
GROWLING, g ɹ ˈəʊ l ɪ ŋ
GROWLS, g ɹ ˈaʊ l z
GROWN, g ɹ ˈəʊ n
GROWS, g ɹ ˈəʊ z
GROWTH, g ɹ ˈəʊ θ
GRUB, g ɹ ˈɐ b
GRUESOME, g ɹ ˈuː s ə m
GRUMBLE, g ɹ ˈɐ m b ə l
GRUMPY, g ɹ ˈɐ m p i
GRUNT, g ɹ ˈɐ n t
GRUNTING, g ɹ ˈɐ n t ɪ ŋ
GRUNTS, g ɹ ˈɐ n t s
GUAM, g w ˈɑː m
GUARANTEE, g ˌæ ɹ ə n t ˈiː
GUARANTEED, g ˌæ ɹ ə n t ˈiː d
GUARANTEES, g ˌæ ɹ ə n t ˈiː z
GUARD, g ˈɑː d
GUARDIAN, g ˈɑː d ɪə n
GUARDS, g ˈɑː d z
GUATEMALA, g w ˌɑː t ə m ˈɑː l ə
GUAVA, g w ˈɑː v ə
GUERILLA, g ə ɹ ˈɪ l ə
GUERRILLA, g ə ɹ ˈɪ l ə
GUESS, g ˈɛ s
GUEST, g ˈɛ s t
GUESTBOOK, g ˈɛ s t b ˌʊ k
GUESTS, g ˈɛ s t s
GUI, g ˈuː i
GUIDANCE, g ˈaɪ d ə n s
GUIDE, g ˈaɪ d
GUIDED, g ˈaɪ d ɪ d
GUIDELINE, g ˈaɪ d l ˌaɪ n
GUIDELINES, g ˈaɪ d l ˌaɪ n z
GUIDES, g ˈaɪ d z
GUIDING, g ˈaɪ d ɪ ŋ
GUILD, g ˈɪ l d
GUILDFORD, g ˈɪ l f ə d
GUILT, g ˈɪ l t
GUILTY, g ˈɪ l t i
GUINEA, g ˈɪ n i
GUINNESS, g ˈɪ n ɪ s
GUISE, g ˈaɪ z
GUITAR, g ɪ t ˈɑː
GUITARS, g ɪ t ˈɑː z
GULF, g ˈɐ l f
GULLY, g ˈɐ l i
GULP, g ˈɐ l p
GUM, g ˈɐ m
GUN, g ˈɐ n
GUNFIRE, g ˈɐ n f ˌaɪ ə
GUNGE, g ˈɐ n dʒ
GUNS, g ˈɐ n z
GUNSHOT, g ˈɐ n ʃ ˌɒ t
GUNSHOTS, g ˈɐ n ʃ ˌɒ t s
GURU, g ˈuː ɹ ˌuː
GUSH, g ˈɐ ʃ
GUST, g ˈɐ s t
GUT, g ˈɐ t
GUTS, g ˈɐ t s
GUTTER, g ˈɐ t ə
GUY, g ˈaɪ
GUYANA, g ˌaɪ ˈæ n ə
GUYS, g ˈaɪ z
GYM, dʒ ˈɪ m
GYMNAST, dʒ ˈɪ m n æ s t
GYPSIES, dʒ ˈɪ p s i z
GYPSY, dʒ ˈɪ p s i
GZIP, dʒ ˈiː z ˌɪ p
HA, h ˈɑː
HABIT, h ˈæ b ɪ t
HABITAT, h ˈæ b ɪ t ˌæ t
HABITS, h ˈæ b ɪ t s
HACK, h ˈæ k
HACKER, h ˈæ k ə
HACKERS, h ˈæ k ə z
HACKNEY, h ˈæ k n i
HACKS, h ˈæ k s
HAD(1), h ə d
HAD(2), h ˈæ d
HADN'T, h ˈæ d ə n t
HAEMORRHAGE, h ˈɛ m ə ɹ ɪ dʒ
HAGGIS, h ˈæ g ɪ s
HAIL, h ˈeɪ l
HAIR, h ˈɛə
HAIRCUT, h ˈɛə k ˌɐ t
HAIRDRESSER, h ˈɛə d ɹ ˌɛ s ə
HAIRDRESSERS, h ˈɛə d ɹ ˌɛ s ə z
HAIRED, h ˈɛə d
HAIRS, h ˈɛə z
HAIRY, h ˈɛə ɹ i
HAITI, h ˈeɪ t i
HAKE, h ˈeɪ k
HALE, h ˈeɪ l
HALF, h ˈɑː f
HALFWAY(1), h ˈɑː f w eɪ
HALFWAY(2), h ˌɑː f w ˈeɪ
HALIFAX, h ˈæ l ɪ f ˌæ k s
HALL, h ˈɔː l
HALLELUJAH, h ˌæ l ə l ˈuː j ə
HALLOW, h ˈæ l əʊ
HALLOWEEN, h ˌæ l ə w ˈiː n
HALO, h ˈeɪ l əʊ
HALT, h ˈɒ l t
HALVE, h ˈɑː v
HALVES, h ˈɑː v z
HAM, h ˈæ m
HAMBURG, h ˈæ m b ɜː g
HAMILTON, h ˈæ m ɪ l t ə n
HAMLET, h ˈæ m l ɪ t
HAMLETS, h ˈæ m l ɪ t s
HAMMER, h ˈæ m ə
HAMMERSMITH, h ˈæ m ə s m ɪ θ
HAMPER, h ˈæ m p ə
HAMPSHIRE(1), h ˈæ m p ʃ ɪə
HAMPSHIRE(2), h ˈæ m p ʃ ə
HAMPTON, h ˈæ m p t ə n
HAMSTER, h ˈæ m s t ə
HAND, h ˈæ n d
HANDBAG, h ˈæ n d b ˌæ g
HANDBAGS, h ˈæ n d b ˌæ g z
HANDBOOK, h ˈæ n d b ˌʊ k
HANDED, h ˈæ n d ɪ d
HANDFUL, h ˈæ n d f ˌʊ l
HANDHELD, h ˈæ n d h ˌɛ l d
HANDHELDS, h ˈæ n d h ˌɛ l d z
HANDICAP, h ˈæ n d ɪ k ˌæ p
HANDICAPPED, h ˈæ n d ɪ k ˌæ p t
HANDJOB, h ˈæ n d dʒ ˌɒ b
HANDJOBS, h ˈæ n d dʒ ˌɒ b z
HANDKERCHIEF(1), h ˈæ ŋ k ə tʃ ɪ f
HANDKERCHIEF(2), h ˈæ ŋ k ə tʃ iː f
HANDLE, h ˈæ n d ə l
HANDLED, h ˈæ n d ə l d
HANDLES, h ˈæ n d ə l z
HANDLING, h ˈæ n d l ɪ ŋ
HANDMADE(1), h ˌæ n m ˈeɪ d
HANDMADE(2), h ˌæ n d m ˈeɪ d
HANDOUT, h ˈæ n d aʊ t
HANDOUTS, h ˈæ n d aʊ t s
HANDS, h ˈæ n d z
HANDSOME, h ˈæ n s ə m
HANDY, h ˈæ n d i
HANG, h ˈæ ŋ
HANGED, h ˈæ ŋ d
HANGING, h ˈæ ŋ ɪ ŋ
HANGS, h ˈæ ŋ z
HANNAH, h ˈæ n ə
HAPPEN, h ˈæ p ə n
HAPPENED, h ˈæ p ə n d
HAPPENING(1), h ˈæ p n ɪ ŋ
HAPPENING(2), h ˈæ p ə n ɪ ŋ
HAPPENS, h ˈæ p ə n z
HAPPIER, h ˈæ p ɪə
HAPPILY, h ˈæ p ɪ l i
HAPPINESS, h ˈæ p ɪ n ɪ s
HAPPISBURGH, h ˈeɪ z b ɹ ə
HAPPY, h ˈæ p i
HARASS(1), h ə ɹ ˈæ s
HARASS(2), h ˈæ ɹ ə s
HARASSMENT(1), h ə ɹ ˈæ s m ə n t
HARASSMENT(2), h ˈæ ɹ ə s m ə n t
HARBOR, h ˈɑː b ə
HARBOUR, h ˈɑː b ə
HARD, h ˈɑː d
HARDCORE, h ˈɑː d k ˌɔː
HARDCOVER, h ˈɑː d k ˌɐ v ə
HARDEN, h ˈɑː d ə n
HARDER, h ˈɑː d ə
HARDLY, h ˈɑː d l i
HARDSHIP, h ˈɑː d ʃ ɪ p
HARDWARE, h ˈɑː d w ˌɛə
HARDWOOD, h ˈɑː d w ˌʊ d
HARDY, h ˈɑː d i
HARE, h ˈɛə
HAREM(1), h ˈɑː ɹ iː m
HAREM(2), h ɑː ɹ ˈiː m
HARINGEY, h ˈæ ɹ ɪ ŋ g ˌeɪ
HARLEY, h ˈɑː l i
HARLOW, h ˈɑː l əʊ
HARM, h ˈɑː m
HARMFUL, h ˈɑː m f ə l
HARMONY, h ˈɑː m ə n i
HARNESS, h ˈɑː n ɪ s
HAROLD, h ˈæ ɹ ə l d
HARP, h ˈɑː p
HARRIET, h ˈæ ɹ ɪə t
HARRIS, h ˈæ ɹ ɪ s
HARRISON, h ˈæ ɹ ɪ s ə n
HARROGATE, h ˈæ ɹ ə g ɪ t
HARROW, h ˈæ ɹ əʊ
HARRY, h ˈæ ɹ i
HARSH, h ˈɑː ʃ
HART, h ˈɑː t
HARTLEPOOL(1), h ˈɑː t l ɪ p ˌuː l
HARTLEPOOL(2), h ˈɑː t l p ˌuː l
HARVARD, h ˈɑː v ə d
HARVEST, h ˈɑː v ɪ s t
HARVEY, h ˈɑː v i
HAS(1), h ə z
HAS(2), h ˈæ z
HASH, h ˈæ ʃ
HASN'T, h ˈæ z ə n t
HASSLE, h ˈæ s ə l
HASTE, h ˈeɪ s t
HASTEN, h ˈeɪ s t ə n
HASTILY, h ˈeɪ s t ɪ l i
HASTINGS, h ˈeɪ s t ɪ ŋ z
HASTY, h ˈeɪ s t i
HAT, h ˈæ t
HATCH, h ˈæ tʃ
HATE, h ˈeɪ t
HATED, h ˈeɪ t ɪ d
HATES, h ˈeɪ t s
HATRED, h ˈeɪ t ɹ ɪ d
HATS, h ˈæ t s
HAUL, h ˈɔː l
HAUNT, h ˈɔː n t
HAVE(1), h ə v
HAVE(2), h ˈæ v
HAVEN, h ˈeɪ v ə n
HAVEN'T, h ˈæ v ə n t
HAVERHILL, h ˈæ v ɹ ə l
HAVERING, h ˈeɪ v ə ɹ ɪ ŋ
HAVING, h ˈæ v ɪ ŋ
HAVOC, h ˈæ v ə k
HAWAII, h ə w ˈaɪ i
HAWAIIAN, h ə w ˈaɪ ə n
HAWICK, h ˈɔɪ k
HAWK, h ˈɔː k
HAY, h ˈeɪ
HAYES, h ˈeɪ z
HAYLEY, h ˈeɪ l i
HAZARD, h ˈæ z ə d
HAZARDOUS, h ˈæ z ə d ə s
HAZARDS, h ˈæ z ə d z
HAZE, h ˈeɪ z
HAZEL, h ˈeɪ z ə l
HAZY, h ˈeɪ z i
HE, h ˈiː
HEAD, h ˈɛ d
HEADACHE, h ˈɛ d ˌeɪ k
HEADED, h ˈɛ d ɪ d
HEADER, h ˈɛ d ə
HEADERS, h ˈɛ d ə z
HEADING, h ˈɛ d ɪ ŋ
HEADINGS, h ˈɛ d ɪ ŋ z
HEADLIGHTS, h ˈɛ d l ˌaɪ t s
HEADLINE, h ˈɛ d l ˌaɪ n
HEADLINES, h ˈɛ d l ˌaɪ n z
HEADMASTER, h ˈɛ d m ˌɑː s t ə
HEADPHONES, h ˈɛ d f ˌəʊ n z
HEADQUARTER, h ˌɛ d k w ˈɔː t ə
HEADQUARTERS, h ˌɛ d k w ˈɔː t ə z
HEADS, h ˈɛ d z
HEADSET, h ˈɛ d s ˌɛ t
HEADY, h ˈɛ d i
HEAL, h ˈiː l
HEALING, h ˈiː l ɪ ŋ
HEALTH, h ˈɛ l θ
HEALTHCARE, h ˈɛ l θ k ˌɛə
HEALTHY, h ˈɛ l θ i
HEAP, h ˈiː p
HEAR, h ˈɪə
HEARD, h ˈɜː d
HEARING, h ˈɪə ɹ ɪ ŋ
HEARINGS, h ˈɪə ɹ ɪ ŋ z
HEARS, h ˈɪə z
HEARSE, h ˈɜː s
HEART, h ˈɑː t
HEARTH, h ˈɑː θ
HEARTS, h ˈɑː t s
HEAT, h ˈiː t
HEATED, h ˈiː t ɪ d
HEATER, h ˈiː t ə
HEATH, h ˈiː θ
HEATHER, h ˈɛ ð ə
HEATING, h ˈiː t ɪ ŋ
HEAVE, h ˈiː v
HEAVEN, h ˈɛ v ə n
HEAVENS, h ˈɛ v ə n z
HEAVIER, h ˈɛ v ɪə
HEAVILY, h ˈɛ v ɪ l i
HEAVY, h ˈɛ v i
HEBREW, h ˈiː b ɹ uː
HECK, h ˈɛ k
HECTARE(1), h ˈɛ k t ɑː
HECTARE(2), h ˈɛ k t ɛə
HECTARES(1), h ˈɛ k t ɑː z
HECTARES(2), h ˈɛ k t ɛə z
HECTIC, h ˈɛ k t ɪ k
HEDGE, h ˈɛ dʒ
HEDGEHOG, h ˈɛ dʒ h ˌɒ g
HEED, h ˈiː d
HEEL, h ˈiː l
HEELS, h ˈiː l z
HEFTY, h ˈɛ f t i
HEIDI, h ˈaɪ d i
HEIGHT, h ˈaɪ t
HEIGHTS, h ˈaɪ t s
HEINOUS(1), h ˈiː n ə s
HEINOUS(2), h ˈeɪ n ə s
HEIR, ˈɛə
HEIRLOOM, ˈɛə l ˌuː m
HEIST, h ˈaɪ s t
HELD, h ˈɛ l d
HELEN, h ˈɛ l ə n
HELENA, h ˈɛ l ə n ə
HELICOPTER, h ˈɛ l ɪ k ˌɒ p t ə
HELIX, h ˈiː l ɪ k s
HELL, h ˈɛ l
HELLO(1), h ɛ l ˈəʊ
HELLO(2), h ə l ˈəʊ
HELLO(3), h ˈɛ l əʊ
HELM, h ˈɛ l m
HELMET, h ˈɛ l m ɪ t
HELP, h ˈɛ l p
HELPED, h ˈɛ l p t
HELPER, h ˈɛ l p ə
HELPFUL, h ˈɛ l p f ə l
HELPING, h ˈɛ l p ɪ ŋ
HELPLESS, h ˈɛ l p l ɪ s
HELPS, h ˈɛ l p s
HELSINKI(1), h ɛ l s ˈɪ ŋ k i
HELSINKI(2), h ˈɛ l s ɪ ŋ k i
HEM, h ˈɛ m
HEMISPHERE, h ˈɛ m ɪ s f ˌɪə
HEMORRHAGE, h ˈɛ m ə ɹ ɪ dʒ
HEMP, h ˈɛ m p
HEN, h ˈɛ n
HENCE, h ˈɛ n s
HENDERSON, h ˈɛ n d ə s ə n
HENRY, h ˈɛ n ɹ i
HENTAI, h ˈɛ n t aɪ
HEPATITIS, h ˌɛ p ə t ˈaɪ t ɪ s
HER(1), h ɜː
HER(2), h ˈɜː
HERALD, h ˈɛ ɹ ə l d
HERB, h ˈɜː b
HERBAL, h ˈɜː b ə l
HERBS, h ˈɜː b z
HERD, h ˈɜː d
HERE, h ˈɪə
HEREBY, h ˌɪə b ˈaɪ
HEREFORD, h ˈɛ ɹ ɪ f ə d
HEREFORDSHIRE, h ˈɛ ɹ ɪ f ə d ʃ ə
HEREIN, h ˌɪə ɹ ˈɪ n
HERITAGE, h ˈɛ ɹ ɪ t ɪ dʒ
HERO, h ˈɪə ɹ əʊ
HEROES, h ˈɪə ɹ əʊ z
HEROIC, h ɪ ɹ ˈəʊ ɪ k
HEROIN, h ˈɛ ɹ əʊ ɪ n
HERON, h ˈɛ ɹ ə n
HERPES, h ˈɜː p i z
HERS(1), h ɜː z
HERS(2), h ˈɜː z
HERSELF, h ɜː s ˈɛ l f
HERSTMONCEUX(1), h ˌɜː s m ə n z ˈuː
HERSTMONCEUX(2), h ˌɜː s m ə n s ˈuː
HERTFORDSHIRE, h ˈɑː t f ə d ʃ ə
HESITATE, h ˈɛ z ɪ t ˌeɪ t
HESITATED, h ˈɛ z ɪ t ˌeɪ t ɪ d
HESITATION, h ˌɛ z ɪ t ˈeɪ ʃ ə n
HEURISTIC, h j uː ɹ ˈɪ s t ɪ k
HEW, h j ˈuː
HEWED, h j ˈuː d
HEWLETT, h j ˈuː l ɪ t
HEWN, h j ˈuː n
HEY, h ˈeɪ
HI, h ˈaɪ
HI-FI, h ˈaɪ f ˌaɪ
HICCOUGH, h ˈɪ k ɐ p
HICCUP, h ˈɪ k ɐ p
HID, h ˈɪ d
HIDDEN, h ˈɪ d ə n
HIDE, h ˈaɪ d
HIDEOUS, h ˈɪ d ɪə s
HIDING, h ˈaɪ d ɪ ŋ
HIERARCHY, h ˈaɪ ə ɹ ˌɑː k i
HIGH, h ˈaɪ
HIGHER, h ˈaɪ ə
HIGHEST, h ˈaɪ ɪ s t
HIGHLAND, h ˈaɪ l ə n d
HIGHLIGHT, h ˈaɪ l ˌaɪ t
HIGHLIGHTED, h ˈaɪ l ˌaɪ t ɪ d
HIGHLIGHTS, h ˈaɪ l ˌaɪ t s
HIGHLY, h ˈaɪ l i
HIGHNESS, h ˈaɪ n ɪ s
HIGHS, h ˈaɪ z
HIGHWAY, h ˈaɪ w ˌeɪ
HIGHWAYS, h ˈaɪ w ˌeɪ z
HIKE, h ˈaɪ k
HIKING, h ˈaɪ k ɪ ŋ
HILAIRE, h ɪ l ˈɛə
HILARIOUS, h ɪ l ˈɛə ɹ ɪə s
HILL, h ˈɪ l
HILLINGDON, h ˈɪ l ɪ ŋ d ə n
HILLS, h ˈɪ l z
HILLY, h ˈɪ l i
HILT, h ˈɪ l t
HILTON, h ˈɪ l t ə n
HIM(1), ɪ m
HIM(2), h ˈɪ m
HIMSELF, h ɪ m s ˈɛ l f
HIND, h ˈaɪ n d
HINDER, h ˈɪ n d ə
HINDRANCE, h ˈɪ n d ɹ ə n s
HINDU, h ˈɪ n d ˌuː
HINGE, h ˈɪ n dʒ
HINT, h ˈɪ n t
HINTS, h ˈɪ n t s
HIP, h ˈɪ p
HIPPO, h ˈɪ p əʊ
HIPPOPOTAMUS, h ˌɪ p ə p ˈɒ t ə m ə s
HIPPY, h ˈɪ p i
HIPS, h ˈɪ p s
HIRE, h ˈaɪ ə
HIRED, h ˈaɪ ə d
HIRING, h ˈaɪ ɹ ɪ ŋ
HIS(1), h ɪ z
HIS(2), h ˈɪ z
HISPANIC, h ɪ s p ˈæ n ɪ k
HISS, h ɪ s
HISTORIAN, h ɪ s t ˈɔː ɹ ɪə n
HISTORIANS, h ɪ s t ˈɔː ɹ ɪə n z
HISTORIC, h ɪ s t ˈɒ ɹ ɪ k
HISTORICAL, h ɪ s t ˈɒ ɹ ɪ k ə l
HISTORICALLY(1), h ɪ s t ˈɒ ɹ ɪ k l i
HISTORICALLY(2), h ɪ s t ˈɒ ɹ ɪ k ə l i
HISTORIES(1), h ˈɪ s t ɹ i z
HISTORIES(2), h ˈɪ s t ə ɹ i z
HISTORY(1), h ˈɪ s t ɹ i
HISTORY(2), h ˈɪ s t ə ɹ i
HIT, h ˈɪ t
HITACHI, h ɪ t ˈɑː tʃ i
HITCH, h ˈɪ tʃ
HITHERTO, h ˌɪ ð ə t ˈuː
HITLER, h ˈɪ t l ə
HITS, h ˈɪ t s
HITTING, h ˈɪ t ɪ ŋ
HIVE, h ˈaɪ v
HM, h m
HOARD, h ˈɔː d
HOARSE, h ˈɔː s
HOAX, h ˈəʊ k s
HOB, h ˈɒ b
HOBBIES, h ˈɒ b i z
HOBBY, h ˈɒ b i
HOCKEY, h ˈɒ k i
HOG, h ˈɒ g
HOIST, h ˈɔɪ s t
HOISTED, h ˈɔɪ s t ɪ d
HOLD, h ˈəʊ l d
HOLDER, h ˈəʊ l d ə
HOLDERS, h ˈəʊ l d ə z
HOLDING, h ˈəʊ l d ɪ ŋ
HOLDINGS, h ˈəʊ l d ɪ ŋ z
HOLDS, h ˈəʊ l d z
HOLE, h ˈəʊ l
HOLES, h ˈəʊ l z
HOLIDAY, h ˈɒ l ɪ d ˌeɪ
HOLIDAYS, h ˈɒ l ɪ d ˌeɪ z
HOLLAND, h ˈɒ l ə n d
HOLLOW, h ˈɒ l əʊ
HOLLY, h ˈɒ l i
HOLLYWOOD, h ˈɒ l ɪ w ˌʊ d
HOLMES, h ˈəʊ m z
HOLOCAUST, h ˈɒ l ə k ˌɔː s t
HOLY, h ˈəʊ l i
HOLYHEAD, h ˈɒ l ɪ h ɛ d
HOMAGE, h ˈɒ m ɪ dʒ
HOME, h ˈəʊ m
HOMELAND, h ˈəʊ m l ˌæ n d
HOMELESS, h ˈəʊ m l ɪ s
HOMEPAGE, h ˈəʊ m p ˌeɪ dʒ
HOMES, h ˈəʊ m z
HOMETOWN, h ˈəʊ m t ˌaʊ n
HOMEWORK, h ˈəʊ m w ˌɜː k
HOMICIDE, h ˈɒ m ɪ s ˌaɪ d
HOMOGENEITY(1), h ˌəʊ m ə dʒ ɪ n ˈiː ɪ t i
HOMOGENEITY(2), h ˌɒ m ə dʒ ɪ n ˈiː ɪ t i
HOMOGENEITY(3), h ˌɒ m ə dʒ ɪ n ˈeɪ ɪ t i
HOMOGENEITY(4), h ˌəʊ m əʊ dʒ ɪ n ˈeɪ ɪ t i
HOMOGENOUS(1), h ə m ˈɒ dʒ ɪ n ə s
HOMOGENOUS(2), h ˌɒ m ə dʒ ˈiː n ɪə s
HOMOGENOUS(3), h ˌəʊ m ə dʒ ˈiː n ɪə s
HOMOSEXUAL(1), h ˌɒ m əʊ s ˈɛ k ʃ ʊə l
HOMOSEXUAL(2), h ˌəʊ m əʊ s ˈɛ k ʃ ʊə l
HONDA, h ˈɒ n d ə
HONDURAS, h ɒ n d j ˈʊə ɹ ə s
HONE, h ˈəʊ n
HONEST, ˈɒ n ɪ s t
HONESTLY, ˈɒ n ɪ s t l i
HONESTY, ˈɒ n ɪ s t i
HONEY, h ˈɐ n i
HONEYMOON, h ˈɐ n ɪ m ˌuː n
HONG, h ˈɒ ŋ
HONKING, h ˈɒ ŋ k ɪ ŋ
HONOLULU, h ˌɒ n ə l ˈuː l uː
HONOR, ˈɒ n ə
HONORABLE, ˈɒ n ə ɹ ə b ə l
HONORARY, ˈɒ n ə ɹ ə ɹ i
HONORED, ˈɒ n ə d
HONORS, ˈɒ n ə z
HONOUR, ˈɒ n ə
HONOURABLE, ˈɒ n ə ɹ ə b ə l
HONOURS, ˈɒ n ə z
HOOD, h ˈʊ d
HOOF, h ˈuː f
HOOFS, h ˈuː f s
HOOK, h ˈʊ k
HOOKED, h ˈʊ k t
HOOP, h ˈuː p
HOORAY, h ʊ ɹ ˈeɪ
HOOT, h ˈuː t
HOOVER, h ˈuː v ə
HOOVES, h ˈuː v z
HOP, h ˈɒ p
HOPE, h ˈəʊ p
HOPED, h ˈəʊ p t
HOPEFUL, h ˈəʊ p f ə l
HOPEFULLY, h ˈəʊ p f ə l i
HOPELESS, h ˈəʊ p l ɪ s
HOPES, h ˈəʊ p s
HOPING, h ˈəʊ p ɪ ŋ
HOPKINS, h ˈɒ p k ɪ n z
HORDE, h ˈɔː d
HORIZON, h ə ɹ ˈaɪ z ə n
HORIZONTAL, h ˌɒ ɹ ɪ z ˈɒ n t ə l
HORMONE, h ˈɔː m ˌəʊ n
HORN, h ˈɔː n
HORNS, h ˈɔː n z
HORNY, h ˈɔː n i
HORRENDOUS, h ɒ ɹ ˈɛ n d ə s
HORRIBLE, h ˈɒ ɹ ɪ b ə l
HORRID, h ˈɒ ɹ ɪ d
HORROR, h ˈɒ ɹ ə
HORSE, h ˈɔː s
HORSES, h ˈɔː s ɪ z
HOSE, h ˈəʊ z
HOSPICE, h ˈɒ s p ɪ s
HOSPITAL, h ˈɒ s p ˌɪ t ə l
HOSPITALITY, h ˌɒ s p ɪ t ˈæ l ɪ t i
HOSPITALS, h ˈɒ s p ˌɪ t ə l z
HOST, h ˈəʊ s t
HOSTAGE, h ˈɒ s t ɪ dʒ
HOSTED, h ˈəʊ s t ɪ d
HOSTEL, h ˈɒ s t ə l
HOSTELS, h ˈɒ s t ə l z
HOSTILE, h ˈɒ s t aɪ l
HOSTILITY, h ɒ s t ˈɪ l ɪ t i
HOSTING, h ˈəʊ s t ɪ ŋ
HOSTS, h ˈəʊ s t s
HOT, h ˈɒ t
HOTEL, h əʊ t ˈɛ l
HOTELS, h əʊ t ˈɛ l z
HOTLY, h ˈɒ t l i
HOTMAIL, h ˈɒ t m eɪ l
HOTTEST, h ˈɒ t ɪ s t
HOUGH(1), h ˈɒ k
HOUGH(2), h ˈɐ f
HOUMOUS, h ˈʊ m ə s
HOUND, h ˈaʊ n d
HOUNSLOW, h ˈaʊ n z l əʊ
HOUR, ˈaʊ ə
HOURLY, ˈaʊ ə l i
HOURS, ˈaʊ ə z
HOUSE, h ˈaʊ s
HOUSEHOLD, h ˈaʊ s h ˌəʊ l d
HOUSEHOLDS, h ˈaʊ s h ˌəʊ l d z
HOUSES, h ˈaʊ z ɪ z
HOUSEWARES, h ˈaʊ s w ˌɛə z
HOUSEWIFE, h ˈaʊ s w ˌaɪ f
HOUSEWIVES, h ˈaʊ s w ˌaɪ v z
HOUSEWORK, h ˈaʊ s w ˌɜː k
HOUSING, h ˈaʊ z ɪ ŋ
HOUSTON, h j ˈuː s t ə n
HOVE, h ˈəʊ v
HOVEL, h ˈɒ v ə l
HOVER, h ˈɒ v ə
HOVERCRAFT, h ˈɒ v ə k ɹ ˌɑː f t
HOW, h ˈaʊ
HOW-TO, h ˈaʊ t uː
HOWARD, h ˈaʊ ə d
HOWDY, h ˈaʊ d i
HOWEVER, h ˌaʊ ˈɛ v ə
HOWL, h ˈaʊ l
HUB, h ˈɐ b
HUDDERSFIELD, h ˈɐ d ə z f iː l d
HUDSON, h ˈɐ d s ə n
HUE, h j ˈuː
HUFF, h ˈɐ f
HUG, h ˈɐ g
HUGE, h j ˈuː dʒ
HUGH, h j ˈuː
HUGHES, h j ˈuː z
HUH, h ˈɐ
HULK, h ˈɐ l k
HULL, h ˈɐ l
HUM, h ˈɐ m
HUMAN, h j ˈuː m ə n
HUMANITARIAN, h j ˌuː m æ n ɪ t ˈɛə ɹ ɪə n
HUMANITIES, h j uː m ˈæ n ɪ t i z
HUMANITY, h j uː m ˈæ n ɪ t i
HUMANS, h j ˈuː m ə n z
HUMBLE, h ˈɐ m b ə l
HUME, h j ˈuː m
HUMID, h j ˈuː m ɪ d
HUMIDITY, h j uː m ˈɪ d ɪ t i
HUMMING, h ˈɐ m ɪ ŋ
HUMOR, h j ˈuː m ə
HUMOUR, h j ˈuː m ə
HUMOUROUS, h j ˈuː m ə ɹ ə s
HUMP, h ˈɐ m p
HUMUS, h j ˈuː m ə s
HUNCH, h ˈɐ n tʃ
HUNDRED(1), h ˈɐ n d ɹ ə d
HUNDRED(2), h ˈɐ n d ɹ ɪ d
HUNDREDS, h ˈɐ n d ɹ ə d z
HUNG, h ˈɐ ŋ
HUNGARIAN, h ɐ ŋ g ˈɛə ɹ ɪə n
HUNGARY, h ˈɐ ŋ g ə ɹ i
HUNGER, h ˈɐ ŋ g ə
HUNGRY, h ˈɐ ŋ g ɹ i
HUNK, h ˈɐ ŋ k
HUNKY, h ˈɐ ŋ k i
HUNT, h ˈɐ n t
HUNTER, h ˈɐ n t ə
HUNTING, h ˈɐ n t ɪ ŋ
HUNTINGTON, h ˈɐ n t ɪ ŋ t ə n
HURL, h ˈɜː l
HURRICANE(1), h ˈɐ ɹ ɪ k ˌeɪ n
HURRICANE(2), h ˈɐ ɹ ɪ k ə n
HURRIED, h ˈɐ ɹ i d
HURRY, h ˈɐ ɹ i
HURT, h ˈɜː t
HURTING, h ˈɜː t ɪ ŋ
HURTS, h ˈɜː t s
HUSBAND, h ˈɐ z b ə n d
HUSBANDS, h ˈɐ z b ə n d z
HUSH, h ˈɐ ʃ
HUSK, h ˈɐ s k
HUSKY, h ˈɐ s k i
HUSTLE, h ˈɐ s ə l
HUT, h ˈɐ t
HYBRID, h ˈaɪ b ɹ ɪ d
HYDRAULIC, h aɪ d ɹ ˈɒ l ɪ k
HYDROGEN, h ˈaɪ d ɹ ə dʒ ə n
HYENA, h aɪ ˈiː n ə
HYGIENE, h ˈaɪ dʒ ˌiː n
HYGIENIC, h ˌaɪ dʒ ˈiː n ɪ k
HYMEN, h ˈaɪ m ə n
HYMN, h ˈɪ m
HYPE, h ˈaɪ p
HYPERBOLE, h aɪ p ˈɜː b ə l i
HYPHEN, h ˈaɪ f ə n
HYPOTHESES, h aɪ p ˈɒ θ ɪ s iː z
HYPOTHESIS, h aɪ p ˈɒ θ ɪ s ɪ s
HYPOTHETICAL, h ˌaɪ p ə θ ˈɛ t ɪ k ə l
